"","EC","class"
"1683","2.7.4.31","Transferases"
"1684","2.7.4.6","Transferases"
"1685","2.7.4.7","Transferases"
"1686","2.7.4.8","Transferases"
"1687","2.7.4.9","Transferases"
"1688","2.7.6.1","Transferases"
"1689","2.7.6.2","Transferases"
"1690","2.7.6.3","Transferases"
"1691","2.7.6.5","Transferases"
"1692","2.7.7.1","Transferases"
"1693","2.7.7.10","Transferases"
"1694","2.7.7.104","Transferases"
"1695","2.7.7.105","Transferases"
"1696","2.7.7.107","Transferases"
"1697","2.7.7.12","Transferases"
"1698","2.7.7.13","Transferases"
"1699","2.7.7.14","Transferases"
"1700","2.7.7.15","Transferases"
"1701","2.7.7.18","Transferases"
"1702","2.7.7.2","Transferases"
"1703","2.7.7.22","Transferases"
"1704","2.7.7.23","Transferases"
"1705","2.7.7.24","Transferases"
"1706","2.7.7.27","Transferases"
"1707","2.7.7.3","Transferases"
"1708","2.7.7.30","Transferases"
"1709","2.7.7.33","Transferases"
"1710","2.7.7.34","Transferases"
"1711","2.7.7.38","Transferases"
"1712","2.7.7.4","Transferases"
"1713","2.7.7.40","Transferases"
"1714","2.7.7.41","Transferases"
"1715","2.7.7.43","Transferases"
"1716","2.7.7.44","Transferases"
"1717","2.7.7.5","Transferases"
"1718","2.7.7.53","Transferases"
"1719","2.7.7.60","Transferases"
"1720","2.7.7.62","Transferases"
"1721","2.7.7.64","Transferases"
"1722","2.7.7.68","Transferases"
"1723","2.7.7.69","Transferases"
"1724","2.7.7.70","Transferases"
"1725","2.7.7.71","Transferases"
"1726","2.7.7.73","Transferases"
"1727","2.7.7.74","Transferases"
"1728","2.7.7.75","Transferases"
"1729","2.7.7.76","Transferases"
"1730","2.7.7.77","Transferases"
"1731","2.7.7.81","Transferases"
"1732","2.7.7.82","Transferases"
"1733","2.7.7.83","Transferases"
"1734","2.7.7.9","Transferases"
"1735","2.7.7.91","Transferases"
"1736","2.7.7.92","Transferases"
"1737","2.7.7.99","Transferases"
"1738","2.7.8.1","Transferases"
"1739","2.7.8.11","Transferases"
"1740","2.7.8.13","Transferases"
"1741","2.7.8.15","Transferases"
"1742","2.7.8.2","Transferases"
"1743","2.7.8.20","Transferases"
"1744","2.7.8.22","Transferases"
"1745","2.7.8.26","Transferases"
"1746","2.7.8.27","Transferases"
"1747","2.7.8.28","Transferases"
"1748","2.7.8.29","Transferases"
"1749","2.7.8.3","Transferases"
"1750","2.7.8.34","Transferases"
"1751","2.7.8.35","Transferases"
"1752","2.7.8.37","Transferases"
"1753","2.7.8.41","Transferases"
"1754","2.7.8.43","Transferases"
"1755","2.7.8.5","Transferases"
"1756","2.7.8.7","Transferases"
"1757","2.7.8.8","Transferases"
"1758","2.7.9.1","Transferases"
"1759","2.7.9.2","Transferases"
"1760","2.7.9.3","Transferases"
"1761","2.8.1.1","Transferases"
"1762","2.8.1.10","Transferases"
"1763","2.8.1.12","Transferases"
"1764","2.8.1.16","Transferases"
"1765","2.8.1.2","Transferases"
"1766","2.8.1.3","Transferases"
"1767","2.8.1.4","Transferases"
"1768","2.8.1.5","Transferases"
"1769","2.8.1.6","Transferases"
"1770","2.8.1.7","Transferases"
"1771","2.8.1.8","Transferases"
"1772","2.8.1.9","Transferases"
"1773","2.8.2.11","Transferases"
"1774","2.8.2.2","Transferases"
"1775","2.8.2.24","Transferases"
"1776","2.8.2.4","Transferases"
"1777","2.8.3.1","Transferases"
"1778","2.8.3.11","Transferases"
"1779","2.8.3.12","Transferases"
"1780","2.8.3.15","Transferases"
"1781","2.8.3.18","Transferases"
"1782","2.8.3.2","Transferases"
"1783","2.8.3.22","Transferases"
"1784","2.8.3.26","Transferases"
"1785","2.8.3.27","Transferases"
"1786","2.8.3.5","Transferases"
"1787","2.8.3.6","Transferases"
"1788","2.8.3.8","Transferases"
"1789","2.8.3.9","Transferases"
"1790","2.8.4.1","Transferases"
"1791","2.8.4.6","Transferases"
"1792","2.8.5.1","Transferases"
"1793","2.9.1.1","Transferases"
"1794","2.9.1.2","Transferases"
"1795","3.1.1.101","Hydrolases"
"1796","3.1.1.102","Hydrolases"
"1797","3.1.1.105","Hydrolases"
"1798","3.1.1.11","Hydrolases"
"1799","3.1.1.110","Hydrolases"
"1800","3.1.1.114","Hydrolases"
"1801","3.1.1.120","Hydrolases"
"1802","3.1.1.14","Hydrolases"
"1803","3.1.1.15","Hydrolases"
"1804","3.1.1.17","Hydrolases"
"1805","3.1.1.19","Hydrolases"
"1806","3.1.1.2","Hydrolases"
"1807","3.1.1.22","Hydrolases"
"1808","3.1.1.23","Hydrolases"
"1809","3.1.1.24","Hydrolases"
"1810","3.1.1.25","Hydrolases"
"1811","3.1.1.3","Hydrolases"
"1812","3.1.1.30","Hydrolases"
"1813","3.1.1.31","Hydrolases"
"1814","3.1.1.32","Hydrolases"
"1815","3.1.1.4","Hydrolases"
"1816","3.1.1.45","Hydrolases"
"1817","3.1.1.47","Hydrolases"
"1818","3.1.1.57","Hydrolases"
"1819","3.1.1.64","Hydrolases"
"1820","3.1.1.65","Hydrolases"
"1821","3.1.1.68","Hydrolases"
"1822","3.1.1.75","Hydrolases"
"1823","3.1.1.84","Hydrolases"
"1824","3.1.1.85","Hydrolases"
"1825","3.1.1.94","Hydrolases"
"1826","3.1.2.1","Hydrolases"
"1827","3.1.2.10","Hydrolases"
"1828","3.1.2.11","Hydrolases"
"1829","3.1.2.12","Hydrolases"
"1830","3.1.2.14","Hydrolases"
"1831","3.1.2.17","Hydrolases"
"1832","3.1.2.21","Hydrolases"
"1833","3.1.2.22","Hydrolases"
"1834","3.1.2.23","Hydrolases"
"1835","3.1.2.25","Hydrolases"
"1836","3.1.2.27","Hydrolases"
"1837","3.1.2.28","Hydrolases"
"1838","3.1.2.30","Hydrolases"
"1839","3.1.2.31","Hydrolases"
"1840","3.1.2.4","Hydrolases"
"1841","3.1.2.6","Hydrolases"
"1842","3.1.3.1","Hydrolases"
"1843","3.1.3.100","Hydrolases"
"1844","3.1.3.101","Hydrolases"
"1845","3.1.3.102","Hydrolases"
"1846","3.1.3.103","Hydrolases"
"1847","3.1.3.104","Hydrolases"
"1848","3.1.3.105","Hydrolases"
"1849","3.1.3.106","Hydrolases"
"1850","3.1.3.109","Hydrolases"
"1851","3.1.3.11","Hydrolases"
"1852","3.1.3.12","Hydrolases"
"1853","3.1.3.15","Hydrolases"
"1854","3.1.3.18","Hydrolases"
"1855","3.1.3.2","Hydrolases"
"1856","3.1.3.21","Hydrolases"
"1857","3.1.3.22","Hydrolases"
"1858","3.1.3.24","Hydrolases"
"1859","3.1.3.25","Hydrolases"
"1860","3.1.3.26","Hydrolases"
"1861","3.1.3.27","Hydrolases"
"1862","3.1.3.29","Hydrolases"
"1863","3.1.3.3","Hydrolases"
"1864","3.1.3.36","Hydrolases"
"1865","3.1.3.37","Hydrolases"
"1866","3.1.3.38","Hydrolases"
"1867","3.1.3.39","Hydrolases"
"1868","3.1.3.4","Hydrolases"
"1869","3.1.3.45","Hydrolases"
"1870","3.1.3.46","Hydrolases"
"1871","3.1.3.5","Hydrolases"
"1872","3.1.3.51","Hydrolases"
"1873","3.1.3.54","Hydrolases"
"1874","3.1.3.56","Hydrolases"
"1875","3.1.3.57","Hydrolases"
"1876","3.1.3.59","Hydrolases"
"1877","3.1.3.6","Hydrolases"
"1878","3.1.3.62","Hydrolases"
"1879","3.1.3.64","Hydrolases"
"1880","3.1.3.66","Hydrolases"
"1881","3.1.3.67","Hydrolases"
"1882","3.1.3.7","Hydrolases"
"1883","3.1.3.70","Hydrolases"
"1884","3.1.3.71","Hydrolases"
"1885","3.1.3.73","Hydrolases"
"1886","3.1.3.74","Hydrolases"
"1887","3.1.3.75","Hydrolases"
"1888","3.1.3.77","Hydrolases"
"1889","3.1.3.8","Hydrolases"
"1890","3.1.3.80","Hydrolases"
"1891","3.1.3.82","Hydrolases"
"1892","3.1.3.83","Hydrolases"
"1893","3.1.3.86","Hydrolases"
"1894","3.1.3.87","Hydrolases"
"1895","3.1.3.89","Hydrolases"
"1896","3.1.3.9","Hydrolases"
"1897","3.1.3.90","Hydrolases"
"1898","3.1.3.91","Hydrolases"
"1899","3.1.3.92","Hydrolases"
"1900","3.1.3.93","Hydrolases"
"1901","3.1.3.95","Hydrolases"
"1902","3.1.3.99","Hydrolases"
"1903","3.1.4.11","Hydrolases"
"1904","3.1.4.12","Hydrolases"
"1905","3.1.4.14","Hydrolases"
"1906","3.1.4.16","Hydrolases"
"1907","3.1.4.17","Hydrolases"
"1908","3.1.4.3","Hydrolases"
"1909","3.1.4.35","Hydrolases"
"1910","3.1.4.39","Hydrolases"
"1911","3.1.4.4","Hydrolases"
"1912","3.1.4.41","Hydrolases"
"1913","3.1.4.48","Hydrolases"
"1914","3.1.4.50","Hydrolases"
"1915","3.1.4.53","Hydrolases"
"1916","3.1.4.55","Hydrolases"
"1917","3.1.4.56","Hydrolases"
"1918","3.1.5.1","Hydrolases"
"1919","3.1.6.1","Hydrolases"
"1920","3.1.6.12","Hydrolases"
"1921","3.1.6.13","Hydrolases"
"1922","3.1.6.14","Hydrolases"
"1923","3.1.6.18","Hydrolases"
"1924","3.1.6.2","Hydrolases"
"1925","3.1.6.4","Hydrolases"
"1926","3.1.6.8","Hydrolases"
"1927","3.1.7.11","Hydrolases"
"1928","3.1.7.2","Hydrolases"
"1929","3.1.7.3","Hydrolases"
"1930","3.10.1.1","Hydrolases"
"1931","3.11.1.1","Hydrolases"
"1932","3.11.1.2","Hydrolases"
"1933","3.11.1.3","Hydrolases"
"1934","3.12.1.1","Hydrolases"
"1935","3.13.1.1","Hydrolases"
"1936","3.13.1.9","Hydrolases"
"1937","3.13.2.1","Hydrolases"
"1938","3.2.1.1","Hydrolases"
"1939","3.2.1.10","Hydrolases"
"1940","3.2.1.103","Hydrolases"
"1941","3.2.1.105","Hydrolases"
"1942","3.2.1.106","Hydrolases"
"1943","3.2.1.108","Hydrolases"
"1944","3.2.1.11","Hydrolases"
"1945","3.2.1.113","Hydrolases"
"1946","3.2.1.114","Hydrolases"
"1947","3.2.1.117","Hydrolases"
"1948","3.2.1.118","Hydrolases"
"1949","3.2.1.122","Hydrolases"
"1950","3.2.1.132","Hydrolases"
"1951","3.2.1.133","Hydrolases"
"1952","3.2.1.137","Hydrolases"
"1953","3.2.1.14","Hydrolases"
"1954","3.2.1.141","Hydrolases"
"1955","3.2.1.144","Hydrolases"
"1956","3.2.1.147","Hydrolases"
"1957","3.2.1.15","Hydrolases"
"1958","3.2.1.165","Hydrolases"
"1959","3.2.1.166","Hydrolases"
"1960","3.2.1.18","Hydrolases"
"1961","3.2.1.183","Hydrolases"
"1962","3.2.1.184","Hydrolases"
"1963","3.2.1.2","Hydrolases"
"1964","3.2.1.20","Hydrolases"
"1965","3.2.1.207","Hydrolases"
"1966","3.2.1.209","Hydrolases"
"1967","3.2.1.21","Hydrolases"
"1968","3.2.1.22","Hydrolases"
"1969","3.2.1.23","Hydrolases"
"1970","3.2.1.26","Hydrolases"
"1971","3.2.1.28","Hydrolases"
"1972","3.2.1.3","Hydrolases"
"1973","3.2.1.31","Hydrolases"
"1974","3.2.1.35","Hydrolases"
"1975","3.2.1.37","Hydrolases"
"1976","3.2.1.39","Hydrolases"
"1977","3.2.1.4","Hydrolases"
"1978","3.2.1.40","Hydrolases"
"1979","3.2.1.45","Hydrolases"
"1980","3.2.1.46","Hydrolases"
"1981","3.2.1.48","Hydrolases"
"1982","3.2.1.49","Hydrolases"
"1983","3.2.1.50","Hydrolases"
"1984","3.2.1.52","Hydrolases"
"1985","3.2.1.54","Hydrolases"
"1986","3.2.1.55","Hydrolases"
"1987","3.2.1.58","Hydrolases"
"1988","3.2.1.67","Hydrolases"
"1989","3.2.1.68","Hydrolases"
"1990","3.2.1.74","Hydrolases"
"1991","3.2.1.76","Hydrolases"
"1992","3.2.1.77","Hydrolases"
"1993","3.2.1.78","Hydrolases"
"1994","3.2.1.85","Hydrolases"
"1995","3.2.1.91","Hydrolases"
"1996","3.2.1.93","Hydrolases"
"1997","3.2.2.1","Hydrolases"
"1998","3.2.2.10","Hydrolases"
"1999","3.2.2.16","Hydrolases"
"2000","3.2.2.2","Hydrolases"
"2001","3.2.2.25","Hydrolases"
"2002","3.2.2.26","Hydrolases"
"2003","3.2.2.3","Hydrolases"
"2004","3.2.2.30","Hydrolases"
"2005","3.2.2.4","Hydrolases"
"2006","3.2.2.5","Hydrolases"
"2007","3.2.2.6","Hydrolases"
"2008","3.2.2.7","Hydrolases"
"2009","3.2.2.8","Hydrolases"
"2010","3.2.2.9","Hydrolases"
"2011","3.3.2.10","Hydrolases"
"2012","3.3.2.12","Hydrolases"
"2013","3.3.2.15","Hydrolases"
"2014","3.3.2.2","Hydrolases"
"2015","3.3.2.6","Hydrolases"
"2016","3.4.11.1","Hydrolases"
"2017","3.4.11.2","Hydrolases"
"2018","3.4.11.23","Hydrolases"
"2019","3.4.11.5","Hydrolases"
"2020","3.4.13.18","Hydrolases"
"2021","3.4.13.20","Hydrolases"
"2022","3.4.13.4","Hydrolases"
"2023","3.4.13.5","Hydrolases"
"2024","3.4.17.21","Hydrolases"
"2025","3.4.19.13","Hydrolases"
"2026","3.4.19.14","Hydrolases"
"2027","3.5.1.1","Hydrolases"
"2028","3.5.1.10","Hydrolases"
"2029","3.5.1.102","Hydrolases"
"2030","3.5.1.106","Hydrolases"
"2031","3.5.1.107","Hydrolases"
"2032","3.5.1.108","Hydrolases"
"2033","3.5.1.110","Hydrolases"
"2034","3.5.1.111","Hydrolases"
"2035","3.5.1.116","Hydrolases"
"2036","3.5.1.118","Hydrolases"
"2037","3.5.1.12","Hydrolases"
"2038","3.5.1.125","Hydrolases"
"2039","3.5.1.126","Hydrolases"
"2040","3.5.1.130","Hydrolases"
"2041","3.5.1.131","Hydrolases"
"2042","3.5.1.132","Hydrolases"
"2043","3.5.1.14","Hydrolases"
"2044","3.5.1.15","Hydrolases"
"2045","3.5.1.16","Hydrolases"
"2046","3.5.1.17","Hydrolases"
"2047","3.5.1.18","Hydrolases"
"2048","3.5.1.19","Hydrolases"
"2049","3.5.1.2","Hydrolases"
"2050","3.5.1.22","Hydrolases"
"2051","3.5.1.23","Hydrolases"
"2052","3.5.1.24","Hydrolases"
"2053","3.5.1.25","Hydrolases"
"2054","3.5.1.3","Hydrolases"
"2055","3.5.1.30","Hydrolases"
"2056","3.5.1.33","Hydrolases"
"2057","3.5.1.35","Hydrolases"
"2058","3.5.1.38","Hydrolases"
"2059","3.5.1.4","Hydrolases"
"2060","3.5.1.41","Hydrolases"
"2061","3.5.1.42","Hydrolases"
"2062","3.5.1.47","Hydrolases"
"2063","3.5.1.49","Hydrolases"
"2064","3.5.1.5","Hydrolases"
"2065","3.5.1.53","Hydrolases"
"2066","3.5.1.54","Hydrolases"
"2067","3.5.1.56","Hydrolases"
"2068","3.5.1.59","Hydrolases"
"2069","3.5.1.6","Hydrolases"
"2070","3.5.1.62","Hydrolases"
"2071","3.5.1.63","Hydrolases"
"2072","3.5.1.68","Hydrolases"
"2073","3.5.1.7","Hydrolases"
"2074","3.5.1.78","Hydrolases"
"2075","3.5.1.8","Hydrolases"
"2076","3.5.1.84","Hydrolases"
"2077","3.5.1.89","Hydrolases"
"2078","3.5.1.9","Hydrolases"
"2079","3.5.1.90","Hydrolases"
"2080","3.5.1.92","Hydrolases"
"2081","3.5.1.94","Hydrolases"
"2082","3.5.1.95","Hydrolases"
"2083","3.5.1.96","Hydrolases"
"2084","3.5.2.1","Hydrolases"
"2085","3.5.2.10","Hydrolases"
"2086","3.5.2.14","Hydrolases"
"2087","3.5.2.15","Hydrolases"
"2088","3.5.2.17","Hydrolases"
"2089","3.5.2.2","Hydrolases"
"2090","3.5.2.3","Hydrolases"
"2091","3.5.2.5","Hydrolases"
"2092","3.5.2.7","Hydrolases"
"2093","3.5.2.9","Hydrolases"
"2094","3.5.3.1","Hydrolases"
"2095","3.5.3.10","Hydrolases"
"2096","3.5.3.11","Hydrolases"
"2097","3.5.3.12","Hydrolases"
"2098","3.5.3.13","Hydrolases"
"2099","3.5.3.22","Hydrolases"
"2100","3.5.3.23","Hydrolases"
"2101","3.5.3.25","Hydrolases"
"2102","3.5.3.26","Hydrolases"
"2103","3.5.3.3","Hydrolases"
"2104","3.5.3.4","Hydrolases"
"2105","3.5.3.5","Hydrolases"
"2106","3.5.3.6","Hydrolases"
"2107","3.5.3.7","Hydrolases"
"2108","3.5.3.8","Hydrolases"
"2109","3.5.3.9","Hydrolases"
"2110","3.5.4.1","Hydrolases"
"2111","3.5.4.10","Hydrolases"
"2112","3.5.4.12","Hydrolases"
"2113","3.5.4.13","Hydrolases"
"2114","3.5.4.16","Hydrolases"
"2115","3.5.4.19","Hydrolases"
"2116","3.5.4.2","Hydrolases"
"2117","3.5.4.21","Hydrolases"
"2118","3.5.4.22","Hydrolases"
"2119","3.5.4.25","Hydrolases"
"2120","3.5.4.26","Hydrolases"
"2121","3.5.4.27","Hydrolases"
"2122","3.5.4.28","Hydrolases"
"2123","3.5.4.29","Hydrolases"
"2124","3.5.4.3","Hydrolases"
"2125","3.5.4.30","Hydrolases"
"2126","3.5.4.31","Hydrolases"
"2127","3.5.4.39","Hydrolases"
"2128","3.5.4.4","Hydrolases"
"2129","3.5.4.40","Hydrolases"
"2130","3.5.4.42","Hydrolases"
"2131","3.5.4.43","Hydrolases"
"2132","3.5.4.44","Hydrolases"
"2133","3.5.4.5","Hydrolases"
"2134","3.5.4.6","Hydrolases"
"2135","3.5.4.8","Hydrolases"
"2136","3.5.4.9","Hydrolases"
"2137","3.5.5.1","Hydrolases"
"2138","3.5.5.4","Hydrolases"
"2139","3.5.99.2","Hydrolases"
"2140","3.5.99.5","Hydrolases"
"2141","3.5.99.6","Hydrolases"
"2142","3.5.99.7","Hydrolases"
"2143","3.6.1.11","Hydrolases"
"2144","3.6.1.12","Hydrolases"
"2145","3.6.1.13","Hydrolases"
"2146","3.6.1.14","Hydrolases"
"2147","3.6.1.15","Hydrolases"
"2148","3.6.1.17","Hydrolases"
"2149","3.6.1.18","Hydrolases"
"2150","3.6.1.21","Hydrolases"
"2151","3.6.1.22","Hydrolases"
"2152","3.6.1.23","Hydrolases"
"2153","3.6.1.28","Hydrolases"
"2154","3.6.1.29","Hydrolases"
"2155","3.6.1.31","Hydrolases"
"2156","3.6.1.39","Hydrolases"
"2157","3.6.1.40","Hydrolases"
"2158","3.6.1.41","Hydrolases"
"2159","3.6.1.43","Hydrolases"
"2160","3.6.1.5","Hydrolases"
"2161","3.6.1.54","Hydrolases"
"2162","3.6.1.57","Hydrolases"
"2163","3.6.1.6","Hydrolases"
"2164","3.6.1.61","Hydrolases"
"2165","3.6.1.63","Hydrolases"
"2166","3.6.1.64","Hydrolases"
"2167","3.6.1.65","Hydrolases"
"2168","3.6.1.66","Hydrolases"
"2169","3.6.1.67","Hydrolases"
"2170","3.6.1.7","Hydrolases"
"2171","3.6.1.73","Hydrolases"
"2172","3.6.1.8","Hydrolases"
"2173","3.6.1.9","Hydrolases"
"2174","3.6.2.1","Hydrolases"
"2175","3.6.2.2","Hydrolases"
"2176","3.7.1.12","Hydrolases"
"2177","3.7.1.13","Hydrolases"
"2178","3.7.1.14","Hydrolases"
"2179","3.7.1.19","Hydrolases"
"2180","3.7.1.2","Hydrolases"
"2181","3.7.1.20","Hydrolases"
"2182","3.7.1.21","Hydrolases"
"2183","3.7.1.22","Hydrolases"
"2184","3.7.1.23","Hydrolases"
"2185","3.7.1.25","Hydrolases"
"2186","3.7.1.26","Hydrolases"
"2187","3.7.1.3","Hydrolases"
"2188","3.7.1.4","Hydrolases"
"2189","3.7.1.5","Hydrolases"
"2190","3.7.1.8","Hydrolases"
"2191","3.7.1.9","Hydrolases"
"2192","3.8.1.2","Hydrolases"
"2193","3.8.1.3","Hydrolases"
"2194","3.8.1.5","Hydrolases"
"2195","3.8.1.7","Hydrolases"
"2196","3.8.1.8","Hydrolases"
"2197","4.1.1.1","Lyases"
"2198","4.1.1.100","Lyases"
"2199","4.1.1.101","Lyases"
"2200","4.1.1.105","Lyases"
"2201","4.1.1.107","Lyases"
"2202","4.1.1.108","Lyases"
"2203","4.1.1.109","Lyases"
"2204","4.1.1.11","Lyases"
"2205","4.1.1.110","Lyases"
"2206","4.1.1.111","Lyases"
"2207","4.1.1.112","Lyases"
"2208","4.1.1.113","Lyases"
"2209","4.1.1.116","Lyases"
"2210","4.1.1.117","Lyases"
"2211","4.1.1.12","Lyases"
"2212","4.1.1.15","Lyases"
"2213","4.1.1.17","Lyases"
"2214","4.1.1.18","Lyases"
"2215","4.1.1.19","Lyases"
"2216","4.1.1.2","Lyases"
"2217","4.1.1.20","Lyases"
"2218","4.1.1.21","Lyases"
"2219","4.1.1.22","Lyases"
"2220","4.1.1.23","Lyases"
"2221","4.1.1.25","Lyases"
"2222","4.1.1.28","Lyases"
"2223","4.1.1.29","Lyases"
"2224","4.1.1.31","Lyases"
"2225","4.1.1.32","Lyases"
"2226","4.1.1.33","Lyases"
"2227","4.1.1.34","Lyases"
"2228","4.1.1.35","Lyases"
"2229","4.1.1.36","Lyases"
"2230","4.1.1.37","Lyases"
"2231","4.1.1.38","Lyases"
"2232","4.1.1.39","Lyases"
"2233","4.1.1.4","Lyases"
"2234","4.1.1.40","Lyases"
"2235","4.1.1.43","Lyases"
"2236","4.1.1.44","Lyases"
"2237","4.1.1.45","Lyases"
"2238","4.1.1.47","Lyases"
"2239","4.1.1.48","Lyases"
"2240","4.1.1.49","Lyases"
"2241","4.1.1.50","Lyases"
"2242","4.1.1.53","Lyases"
"2243","4.1.1.54","Lyases"
"2244","4.1.1.55","Lyases"
"2245","4.1.1.6","Lyases"
"2246","4.1.1.62","Lyases"
"2247","4.1.1.65","Lyases"
"2248","4.1.1.67","Lyases"
"2249","4.1.1.68","Lyases"
"2250","4.1.1.69","Lyases"
"2251","4.1.1.74","Lyases"
"2252","4.1.1.75","Lyases"
"2253","4.1.1.77","Lyases"
"2254","4.1.1.79","Lyases"
"2255","4.1.1.8","Lyases"
"2256","4.1.1.81","Lyases"
"2257","4.1.1.82","Lyases"
"2258","4.1.1.85","Lyases"
"2259","4.1.1.86","Lyases"
"2260","4.1.1.9","Lyases"
"2261","4.1.1.90","Lyases"
"2262","4.1.1.96","Lyases"
"2263","4.1.1.97","Lyases"
"2264","4.1.1.98","Lyases"
"2265","4.1.1.99","Lyases"
"2266","4.1.2.10","Lyases"
"2267","4.1.2.11","Lyases"
"2268","4.1.2.13","Lyases"
"2269","4.1.2.14","Lyases"
"2270","4.1.2.17","Lyases"
"2271","4.1.2.19","Lyases"
"2272","4.1.2.20","Lyases"
"2273","4.1.2.21","Lyases"
"2274","4.1.2.22","Lyases"
"2275","4.1.2.25","Lyases"
"2276","4.1.2.27","Lyases"
"2277","4.1.2.28","Lyases"
"2278","4.1.2.29","Lyases"
"2279","4.1.2.32","Lyases"
"2280","4.1.2.36","Lyases"
"2281","4.1.2.4","Lyases"
"2282","4.1.2.40","Lyases"
"2283","4.1.2.42","Lyases"
"2284","4.1.2.43","Lyases"
"2285","4.1.2.45","Lyases"
"2286","4.1.2.46","Lyases"
"2287","4.1.2.47","Lyases"
"2288","4.1.2.48","Lyases"
"2289","4.1.2.49","Lyases"
"2290","4.1.2.50","Lyases"
"2291","4.1.2.51","Lyases"
"2292","4.1.2.52","Lyases"
"2293","4.1.2.53","Lyases"
"2294","4.1.2.54","Lyases"
"2295","4.1.2.55","Lyases"
"2296","4.1.2.56","Lyases"
"2297","4.1.2.59","Lyases"
"2298","4.1.2.60","Lyases"
"2299","4.1.2.61","Lyases"
"2300","4.1.2.8","Lyases"
"2301","4.1.2.9","Lyases"
"2302","4.1.3.1","Lyases"
"2303","4.1.3.16","Lyases"
"2304","4.1.3.17","Lyases"
"2305","4.1.3.22","Lyases"
"2306","4.1.3.24","Lyases"
"2307","4.1.3.25","Lyases"
"2308","4.1.3.27","Lyases"
"2309","4.1.3.3","Lyases"
"2310","4.1.3.30","Lyases"
"2311","4.1.3.34","Lyases"
"2312","4.1.3.36","Lyases"
"2313","4.1.3.39","Lyases"
"2314","4.1.3.4","Lyases"
"2315","4.1.3.40","Lyases"
"2316","4.1.3.42","Lyases"
"2317","4.1.3.43","Lyases"
"2318","4.1.99.1","Lyases"
"2319","4.1.99.11","Lyases"
"2320","4.1.99.12","Lyases"
"2321","4.1.99.17","Lyases"
"2322","4.1.99.19","Lyases"
"2323","4.1.99.20","Lyases"
"2324","4.1.99.22","Lyases"
"2325","4.1.99.23","Lyases"
"2326","4.2.1.1","Lyases"
"2327","4.2.1.10","Lyases"
"2328","4.2.1.100","Lyases"
"2329","4.2.1.104","Lyases"
"2330","4.2.1.105","Lyases"
"2331","4.2.1.107","Lyases"
"2332","4.2.1.108","Lyases"
"2333","4.2.1.109","Lyases"
"2334","4.2.1.11","Lyases"
"2335","4.2.1.113","Lyases"
"2336","4.2.1.114","Lyases"
"2337","4.2.1.115","Lyases"
"2338","4.2.1.117","Lyases"
"2339","4.2.1.118","Lyases"
"2340","4.2.1.119","Lyases"
"2341","4.2.1.12","Lyases"
"2342","4.2.1.120","Lyases"
"2343","4.2.1.126","Lyases"
"2344","4.2.1.130","Lyases"
"2345","4.2.1.131","Lyases"
"2346","4.2.1.132","Lyases"
"2347","4.2.1.134","Lyases"
"2348","4.2.1.135","Lyases"
"2349","4.2.1.139","Lyases"
"2350","4.2.1.140","Lyases"
"2351","4.2.1.141","Lyases"
"2352","4.2.1.142","Lyases"
"2353","4.2.1.143","Lyases"
"2354","4.2.1.146","Lyases"
"2355","4.2.1.147","Lyases"
"2356","4.2.1.148","Lyases"
"2357","4.2.1.151","Lyases"
"2358","4.2.1.153","Lyases"
"2359","4.2.1.154","Lyases"
"2360","4.2.1.155","Lyases"
"2361","4.2.1.159","Lyases"
"2362","4.2.1.160","Lyases"
"2363","4.2.1.161","Lyases"
"2364","4.2.1.164","Lyases"
"2365","4.2.1.168","Lyases"
"2366","4.2.1.17","Lyases"
"2367","4.2.1.172","Lyases"
"2368","4.2.1.176","Lyases"
"2369","4.2.1.18","Lyases"
"2370","4.2.1.180","Lyases"
"2371","4.2.1.19","Lyases"
"2372","4.2.1.2","Lyases"
"2373","4.2.1.20","Lyases"
"2374","4.2.1.22","Lyases"
"2375","4.2.1.24","Lyases"
"2376","4.2.1.25","Lyases"
"2377","4.2.1.27","Lyases"
"2378","4.2.1.28","Lyases"
"2379","4.2.1.3","Lyases"
"2380","4.2.1.31","Lyases"
"2381","4.2.1.32","Lyases"
"2382","4.2.1.33","Lyases"
"2383","4.2.1.34","Lyases"
"2384","4.2.1.35","Lyases"
"2385","4.2.1.36","Lyases"
"2386","4.2.1.39","Lyases"
"2387","4.2.1.40","Lyases"
"2388","4.2.1.41","Lyases"
"2389","4.2.1.42","Lyases"
"2390","4.2.1.43","Lyases"
"2391","4.2.1.44","Lyases"
"2392","4.2.1.45","Lyases"
"2393","4.2.1.46","Lyases"
"2394","4.2.1.47","Lyases"
"2395","4.2.1.48","Lyases"
"2396","4.2.1.49","Lyases"
"2397","4.2.1.5","Lyases"
"2398","4.2.1.51","Lyases"
"2399","4.2.1.54","Lyases"
"2400","4.2.1.55","Lyases"
"2401","4.2.1.56","Lyases"
"2402","4.2.1.59","Lyases"
"2403","4.2.1.6","Lyases"
"2404","4.2.1.65","Lyases"
"2405","4.2.1.66","Lyases"
"2406","4.2.1.68","Lyases"
"2407","4.2.1.7","Lyases"
"2408","4.2.1.70","Lyases"
"2409","4.2.1.74","Lyases"
"2410","4.2.1.75","Lyases"
"2411","4.2.1.76","Lyases"
"2412","4.2.1.77","Lyases"
"2413","4.2.1.78","Lyases"
"2414","4.2.1.79","Lyases"
